City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
288,Esperance,AU,2020-02-22 21:26:36,-33.87,121.9,64.4,88,83,4.7
289,Bataipora,BR,2020-02-22 21:28:27,-22.3,-53.27,77.36,67,17,4.99
290,Valparai,IN,2020-02-22 21:28:27,10.37,76.97,80.6,83,40,8.16
291,Stornoway,GB,2020-02-22 21:28:27,58.21,-6.39,39.2,80,57,23.04
292,Aberdeen,GB,2020-02-22 21:28:27,57.14,-2.1,39.0,64,0,19.46
293,Maine-Soroa,NE,2020-02-22 21:28:27,13.21,12.02,73.92,13,0,11.61
294,Tuktoyaktuk,CA,2020-02-22 21:28:28,69.45,-133.04,3.2,84,90,6.93
295,Vila Franca Do Campo,PT,2020-02-22 21:23:36,37.72,-25.43,57.2,76,20,4.7
296,Ibb,YE,2020-02-22 21:28:28,13.97,44.18,68.11,62,0,1.25
297,Kirs,RU,2020-02-22 21:28:28,59.34,52.24,30.36,88,100,11.77
298,Kowary,PL,2020-02-22 21:28:29,50.79,15.84,51.01,62,72,23.42
299,Rawson,AR,2020-02-22 21:28:29,-43.3,-65.1,72.46,42,0,24.87
300,Lorengau,PG,2020-02-22 21:24:54,-2.02,147.27,82.4,75,52,7.67
301,San Ramon,US,2020-02-22 21:25:22,37.78,-121.98,73.4,30,1,16.11
302,Jiaozuo,CN,2020-02-22 21:24:02,35.24,113.23,40.95,56,0,3.53
